Municipio,Codigo,Gentilico,Prefeito_2021,Area,Populacao,DensidadeDemografica,Escolarizacao,IDHM,MortalidadeInfantil,ReceitasRealizadas,DespesasEmpenhadas,PIBpercapita
Ouricuri,2609907,ouricuriense,FRANCISCO RICARDO SOARES RAMOS,2381.570,70466,26.56,92.4,0.572,21.66,121124.38129,135072.44205,10223.61
Palmares,2610004,palmarense,JOS&Eacute; BARTOLOMEU DE ALMEIDA MELO JUNIOR,339.291,63745,175.44,96.3,0.622,8.38,129657.239,135059.73673,13471.21
Palmeirina,2610103,palmeirinense,MARCELO NEVES DE LIMA,168.796,7509,51.82,94,0.549,-,23736.61602,26810.3834,9446.60
Panelas,2610202,panelense,RUBEN DE LIMA BARBOSA,380.428,26438,69.14,98.6,0.569,18.52,82808.45869,71270.31865,7348.18
Paranatama,2610301,paranatamense,JOSE VALMIR PIMENTEL DE GOIS,185.371,11608,47.65,97.9,0.537,9.95,38048.98726,36511.75982,19050.00
Parnamirim,2610400,parnamirinense,FERDINANDO LIMA DE CARVALHO,2609.548,22198,7.79,97,0.599,6.58,49859.83068,46505.80731,8227.03
Passira,2610509,passirense,SEVERINO SILVESTRE DE ALBUQUERQUE,326.757,28856,87.61,95.9,0.592,10.64,60396.72672,63869.93836,7994.82
Paudalho,2610608,paudalhense,MARCELLO FUCHS CAMPOS GOUVEIA,269.651,57346,185.06,96.7,0.639,8.48,99429.96497,90579.71753,15434.67
Paulista,2610707,paulistano,YVES RIBEIRO DE ALBUQUERQUE,96.932,336919,3087.66,97.9,0.732,10.43,501021.00628,457524.10481,13681.83
Pedra,2610806,pedrense,GILBERTO J&Uacute;NIOR WANDERLEY VAZ,921.477,22716,26.08,92,0.567,9.12,48119.19458,48181.38936,11077.69
Pesqueira,2610905,pesqueirense,MARIA JOSE CASTRO TENORIO,980.876,68067,63.21,97.4,0.610,13.96,117501.81215,107174.11434,10804.68
Petrol&acirc;ndia,2611002,petrolandense,FABIANO JAQUES MARQUES,1056.592,37246,30.75,96,0.623,7.12,80548.29077,77134.21193,40379.67
Petrolina,2611101,petrolinense,MIGUEL DE SOUZA LE&Atilde;O COELHO,4561.870,359372,64.44,97,0.697,18.07,669779.17576,604499.95462,20811.26
Po&ccedil;&atilde;o,2611200,po&ccedil;&atilde;oense,EMERSON CORDEIRO VASCONCELOS,204.329,11308,45.56,97,0.528,43.17,29218.3409,26962.35066,7648.86
Pombos,2611309,pomboense,MANOEL MARCOS ALVES FERREIRA,239.876,27204,118.35,95,0.598,4.87,57179.34587,57045.16544,16151.93
Primavera,2611408,primaverense,DAYSE JULIANA DOS SANTOS,113.112,15231,121.97,96.7,0.580,-,32800.34927,31447.23829,11188.25
Quipap&aacute;,2611507,quipapaense,ALVARO PORTO DE BARROS FILHO,230.617,26309,104.88,97.2,0.552,17.86,58125.87157,58430.73616,7090.04
Quixaba,2611533,quixabense,JOS&Eacute; PEREIRA NUNES,210.705,6796,31.98,99.2,0.577,19.05,26460.00167,23119.64656,8277.42
